題目,主題A,主題B,主題C,正確主題,老實人解釋
Q1,TA1,TB1,TC1,TAN1,EXP1
Q2,TA2,TB2,TC2,TAB2,EXP2
Q3,TA3,TB3,TC3,TAN2,EXP3
Q4,TA4,TB4,TC4,TAB3,EXP4
Q1,TA5,TB5,TC5,TAN3,EXP5
Q2,TA6,TB6,TC6,TAB4,EXP6
Q3,TA7,TB7,TC7,TAN4,EXP7
Q4,TA8,TB8,TC8,TAB5,EXP8
Q1,TA9,TB9,TC9,TAN5,EXP9
Q2,TA10,TB10,TC10,TAB6,EXP10
Q3,TA11,TB11,TC11,TAN6,EXP11
Q4,TA12,TB12,TC12,TAB7,EXP12
Q1,TA13,TB13,TC13,TAN7,EXP13
Q2,TA14,TB14,TC14,TAB8,EXP14
Q3,TA15,TB15,TC15,TAN8,EXP15
Q4,TA16,TB16,TC16,TAB9,EXP16
Q1,TA17,TB17,TC17,TAN9,EXP17
Q2,TA18,TB18,TC18,TAB10,EXP18
Q3,TA19,TB19,TC19,TAN10,EXP19
